titles,data,links,labels,images,sources
Student with especial need s,"Advances in mobile technology and robotics can open new opportunities  to assist students  with  especial  needs ,  making learning easier  for  them .  Cloud - based  ro bots  can  be  considered as  a  full - time  assistan t for  disabled  students,  helping  them  to  interact  with  the  education  environment and  their  peers . Rather than having  to call a teacher over for help ( which can cost both the  student  and  the  teacher  time  they  c o uld  be  using  more  productively )  the  student s can  take  care  of  the  issue with the help of their robot. ",https://community.jisc.ac.uk/sites/default/files/Education-VM_Extended.pdf,education,https://blog.tcea.org/wp-content/uploads/2018/04/Children-learning-1-1.jpg,Jisc community
IoT & Smart Classroom /Smart Campus ,"IoT applications are affecting all aspect of our life, from smart  building to smart healthcare. However, one of the fast growing area of these applications is in education  which can improve our today’s teaching, learning and campus operating experience. IoT applications c an  also help us change the role of teachers in the classroom, reducing the burden of administrative load on  them  and  allowing  them  to  concentrate  more  on  individuals.  B eing  automatically  logged  into  the  classroom  as  soon  as  entering  to  the  class ,  being  dis tracted  by  a  signal  as  soon  as  losing  concentration  during lecture, real - time feedback to a lecturer about areas that students still have problem based on  the  real - time  analyses  of their  notes,  all  are  just  few  examples  of  how  IoT  and  connected  classroom  c an  enhance learning and teaching experience.",https://community.jisc.ac.uk/sites/default/files/Education-VM_Extended.pdf,education,https://blog.tcea.org/wp-content/uploads/2018/04/Children-learning-1-1.jpg,Jisc community
Greenhouse automation,"In addition to sourcing environmental data, weather stations can automatically adjust the conditions to match the given parameters. Specifically, greenhouse automation systems use a similar principle.  For instance, Farmapp and Growlink are also IoT agriculture products offering such capabilities among others.  GreenIQ is also an interesting product that uses smart agriculture sensors. It is a smart sprinklers controller that allows you to manage your irrigation and lighting systems remotely",https://easternpeak.com/blog/iot-in-agriculture-5-technology-use-cases-for-smart-farming-and-4-challenges-to-consider/,agriculture,https://s2.easternpeak.com/wp-content/uploads/2018/06/GreenIQ-Ltd.-e1528368666599.jpg,Eastern Peak
Monitoring of climate conditions ,"Probably the most popular smart agriculture gadgets are weather stations, combining various smart farming sensors. Located across the field, they collect various data from the environment and send it to the cloud. The provided measurements can be used to map the climate conditions, choose the appropriate crops, and take the required measures to improve their capacity (i.e. precision farming).",https://easternpeak.com/blog/iot-in-agriculture-5-technology-use-cases-for-smart-farming-and-4-challenges-to-consider/,agriculture,https://s9.easternpeak.com/wp-content/uploads/2018/06/1111.jpg,Eastern Peak
Crop management," One more type of IoT product in agriculture and another element of precision farming are crop management devices. Just like weather stations, they should be placed in the field to collect data specific to crop farming; from temperature and precipitation to leaf water potential and overall crop health.", https://easternpeak.com/blog/iot-in-agriculture-5-technology-use-cases-for-smart-farming-and-4-challenges-to-consider/,agriculture,https://s5.easternpeak.com/wp-content/uploads/2018/06/MarkTough-1024x683.jpg,Eastern Peak
Cattle monitoring and management,"Just like crop monitoring, there are IoT agriculture sensors that can be attached to the animals on a farm to monitor their health and log performance. This works similarly to IoT devices for petcare.",https://easternpeak.com/blog/iot-in-agriculture-5-technology-use-cases-for-smart-farming-and-4-challenges-to-consider/,agriculture,https://s4.easternpeak.com/wp-content/uploads/2018/06/shutterstock_141066472-1-1.jpg,Eastern Peak
GlaxoSmithKline – Bioelectronic medicine,"GSK’s Bioelectronics unit is developing miniaturised,  implantable connected devices to treat chronic diseases  such as diabetes or arthritis. As these will rely on mobile  networks to communicate back with the physicians for  monitoring purposes and to adjust the treatment, having  a secure, reliable and dedicated ‘network slice’ would be a  major advantage.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,healthcare,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
University of Surrey – TIHM for dementia ,"The Technology Integrated Health Management project  is developing patient and home monitoring solutions  for patients with dementia, which could benefit from the  increased bandwidth, reliability, security and device-to- device connectivity that can be supported by 5G networks  in the future.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,healthcare,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
Vodafone – A9 testbed in Germany ,"Vodafone is trialling vehicle-to-vehicle communication  as well as geo-messaging solutions for cars along the A9  highway in Germany, between Munich and Ingolstadt, using  an advanced version of long term evolution (LTE), as part of  a testbed with other partners for future 5G services.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,automative,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
Scania – Platooning,"Scania is a frontrunner in connected vehicles, having over  200,000 connected vehicles on the road today. Scania has been  trialling platooning for several years and has now started a 5G trial  to look at the benefits of next generation mobile networks for  autonomous driving and platooning",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,automative,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
Jaguar Land Rover – Connected and autonomous vehicles,"Connected and autonomous vehicle technologies are one  of Jaguar Land Rover’s key priorities, and it is in a suite of  research projects including trialling vehicle-to-vehicle  and vehicle-to-infrastructure applications based on C-V2X connectivity, which is essentially a precursor of  5G technologies.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,automative,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
Roborace – Autonomous electric cars,"Roborace is currently developing autonomous electric  cars that will be used in car racing championships  around the world. The solution could benefit from 5G as  it would enhance safe operations, create a more dynamic  environment and enable new applications within the  Roborace experience, such as video broadcasting.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,automative,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
Audi – 5G technology for automotive,Audi would benefit from the introduction of 5G networks to  improve pre-production and production processes as well  as post-production maintenance of fleet and vehicles.,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,automative,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
CHAP – Digital farming,"CHAP is developing a SMART Decision Support Unit that  helps inform farmers about the risks from pathogens,  pests and weeds in order to reduce the use of pesticides.  This solution could benefit from next generation mobile  networks as more data could be included in the analysis,  and agricultural machinery could be connected to  autonomously take action",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,agriculture,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
Vodafone – Drones as a service ,"Vodafone is already able to provide drone connectivity  using 4G network capability. Vodafone is also working with  partners on the use of ‘drones as a service’ for future  applications, e.g. automatic drones for precision farming or  protecting critical infrastructure. Controlling the drones over  a 5G network would yield a number of important benefits.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,agriculture,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
INITION – Virtual reality orchestra,"INITION is an innovative production company specialised  in developing full immersive experiences. Amongst other  initiatives, INITION has been looking to move beyond pre- recorded and edited VR experiences and create live 360° 3D  virtual reality streams of events such as an orchestra,  which could potentially be enabled by next generation  mobile networks.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,entertainment,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
TwinVision – Digital Twin,"TwinVision has developed a ‘Digital Twin’ prototype,  using IoT sensors to re-create a 3D digital version of a  real-life sport event. TwinVision gives the audience the  ability to follow the event from a mobile app/VR device,  which increasingly requires lower latency and higher  bandwidth connectivity.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,entertainment,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
Resolution Games – Mobile multiplayer VR gaming,"Resolution Games is an innovator, developing virtual reality  games for mobile headsets such as Google Daydream.  Although currently many VR games are single player  games, Resolution Games is focused on incorporating  online multiplayer functionality into their games.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,entertainment,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
EURO MEDIA GROUP – LIVE TV PRODUCTION,"For live TV production, Euro Media Group has to send vast  amounts of data from event sites to its production studio  in real time over fibre networks or rely on mobile production  units. 5G networks could replace the use of such units  and could enable direct transmission from the cameras to  the studio.",https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,entertainment,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
5GEM – 5G-Enabled Manufacturing,5GEM is a collaborative research project which aims  to create a pilot production system for world- class  industrial manufacturing based on wireless and mobile  5G communication.,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/pdf/gigabit-society-5g-04042017.pdf,manufacturing,https://www.vodafone.com/content/dam/vodafone-images/public-policy/reports/gigabit-5g-720.jpg,Vodafone
Gecko  h ealth  innova tions smart inhaler ,"S based Gecko Health Innovations, acquired by Teva pharmaceuticals in September  2015, has developed their CareTRx™ platform for tracking and managing chronic  respiratory diseases.  A sensor device connects to the patient’s inhaler which tracks use  and gives patients reminders of doses.  Sensor information is collated by the CareTRx™  Journal App which tracks and records medications, symptoms, triggers, peak flow  measurements and flare  ups.  The patient can then view statistics and get feedback on  their use of their inhaler and share with medical teams.",https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,healthcare,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
TIHM (Technology Integrated Health Management) for dementia  study and trials in Surrey ,TIHM (Technology Integrated Health Management) for dementia is a new research study  funded by NHS England and Innovate UK with the key aims of improving the quality of  life for dementia patients and their carers. The study also aims to reduce hospital  admissions and in - patient volumes related to dementia by providing remote care an d  monitoring of patients in their own homes.  ,https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,healthcare,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
Blackburn with Darwen  c ouncil telecare programme,Blackburn with Darwen council first introduced telecare in 2008 but in 2010 examined  telecare delivery models in other areas and set the objective of increasing telecare users  from 60 to 1800.   This programme eventually became branded the “Safe and Well”  programme and has included a contract with Tunstall Healthcare for telecare equipment  and services as well as a number of pilot schemes of new assisted living technologies  such as:,https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,healthcare,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
Working with mobile operators to achieve mobile coverage at  The Royal Marsden’s Sutton site,The Royal Marsden NHS Foundation Trust has two hospital sites.  These are at Chelsea in  London and Sutton in Surrey.  They also have a Medi cal Daycare Unit at Kingston Hospital  and provide community services in the London Borough of Sutton.  ,https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,healthcare,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
Jaguar  Land Rover’s connected car services and platforms,"aguar  Land Rover (JLR) is developing a wide range of connected car services for the near  to medium term, and is one of the leading firms carrying out development and trials in  the UK. Its emerging services will be launched to UK users at an early stage of  commercialisatio n. They are highly indicative of the type of services which will evolve in  future, and the type of network which will be required to support them. ",https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,automative,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
Jaguar  Land Rover’s efforts in the CAV domain,"Jaguar Land Rover has demonstrated various enablers of future autonomous vehicle and  is a leader in all - terrain driving, which enables non - consumer applications for industrial  or milita ry use as per the picture below . This te chnology is being developed to help  drivers as well as autonomous vehicles. ",https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,automative,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
Discussion with a rail operator,"The rail operator manages rail infrastructure (track, stations, tunnels and signalling) on a  line where tr ains reach speeds of up to 300 kilometres  per hour (186 mph) . In terms of  wireless connectivity, they see two main advantages and priorities: ",https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,automative,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
DfT franchises  enable Mobile Broadband for all UK trains ,"According to DfT ; the in - train Wi - Fi programme will cover data (broadband) and voice  (over  Wi - Fi).  DfT is assuming passengers have (or will have) devices that support Wi - Fi  calling. MNO in - carriage coverage, as op posed to Wi - Fi coverage, is not a requirement as  it does not give universal internet access to all subscribers and passengers, given that not  all operators will have continuous coverage everywhere. ",https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,automative,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
Thames Water  – smart meter deployment,"Thames Water (TW) following signing a contract with Arqiva in March 2015 are deploying  smart water meters to the 3.3m properties  – this is the first UK deployment of smart  water meters and the meters connect by wireless. TW has already found that metered  customers use 11% less water than unmetered customers and smart meters were seen  as the next step in demand and network management bringing benefits of real time  analytics to pinpoint leaks for instance. TW has  more than 20,000 miles of water mains  and the smart meter platform will highlight continual usage which often indicates a leak.   TW research concluded that if nothing was done by 2020 there would be a shortfall of  133m litres of water per day as can be see n in..",https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,manufacturing,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
sotrak  fleet management solutions ,Isotrak is a UK company supplying fleet mana gement solutions globally.  In the UK Isotrak  partners with Vodafone to provide fleet management services across 99% of the UK. The  system can provide fleet managers with the ability to access real time intelligence on  vehicle locations and route analysis  and vehicle progress.  Geo - fe nces can be set up  allowing delivery recipients to be kept informed when a delivery is close. Perishable  goods can be monitored for temperature as well as rear door openings.,https://www.nic.org.uk/wp-content/uploads/Future-use-cases-for-mobile-UK-Real-Wireless-report-for-the-NIC.pdf,automative,https://www.nic.org.uk/wp-content/uploads/Screen-Shot-2017-02-23-at-10.06.40.png,Real Wireless
“Let’s be clear: smart cities are expensive” – how Cardiff made the tech add up ,"FacebookTwitterLinkedinemailCardiff, the capital city of Wales, has just upgraded 18,000 street lights in its city centre. The new lanterns are hugely efficient, and supremely smart. And yet the business case …",https://enterpriseiotinsights.com/20181025/channels/use-cases/how-cardiff-made-the-tech-add-up,manufacturing,https://i0.wp.com/enterpriseiotinsights.com/wp-content/uploads/2018/10/29678476_xl.jpg?resize=360%2C210&ssl=1,Enterprise Iot Insights
Telematics firm Geotab uses fleet data to create ‘hyper-local’ heat map for smart cities ,FacebookTwitterLinkedinemailCanadian telematics firm Geotab is making available hyper-local weather and environmental data from its fleet of over one million vehicles across the globe. It is offering the live feed of …,https://enterpriseiotinsights.com/20180919/channels/news/geotab-uses-fleet-data-for-smart-cities,manufacturing,https://i2.wp.com/enterpriseiotinsights.com/wp-content/uploads/2018/09/Screen-Shot-2018-09-19-at-12.54.49.png?resize=360%2C210&ssl=1,Enterprise Iot Insights
"“It’s a big change, this Michael Jackson scenario” – how Cardiff got to grips with smart street lighting ","FacebookTwitterLinkedinemailNote: This is the full version of an article that appeared previously as an excerpt, found here; it also forms part of a major new report on the state of …",https://enterpriseiotinsights.com/20181119/channels/use-cases/how-cardiff-got-to-grips-with-smart-street-ighting,manufacturing,https://i1.wp.com/enterpriseiotinsights.com/wp-content/uploads/2018/11/LED-streetlights.jpg?resize=360%2C210&ssl=1,Enterprise Iot Insights
"Exhaust pipes, SCADA systems and sausages: Five smart manufacturing use cases ","FacebookTwitterLinkedinemailMomentum is building, fast, for smart manufacturing. Here, Enterprise IoT Insights presents five more use cases from leading industrial IoT (IIoT) solutions providers. Also, check out the major new report …",https://enterpriseiotinsights.com/20180824/channels/use-cases/car-scada-sausages-smart-use-cases,manufacturing,https://i2.wp.com/enterpriseiotinsights.com/wp-content/uploads/2018/08/38173415_l.jpg?resize=360%2C210&ssl=1,Enterprise Iot Insights
