Label,data,
case_study,"For high-capacity, flexible production to be realized in the future, Mattes added, the following conditions would have to be satisfied: local allocation of the frequency band for a campus solution of 3.7 to 3.8 Gigahertz (GHz) for Industry 4.0 applications, and full use of the bandwidth of 100 Megahertz (MHz) for an industrial campus solution. A �campus solution� is one covering a whole facility and not just individual production halls.",
case_study,"5G networks will deliver a better and faster broadband experience for consumers, while for businesses 5G will be an enabler to open up new applications for everything from connected vehicles to the smart factories of tomorrow.�",
case_study,"�5G mobile connectivity will enable increased data volumes, allow more devices to be connected, significantly �reduce latency, and allow new levels of connected reliability to be achieved. 5G will also support mission-critical communications for safer driving, vehicle-to-everything communications, and connected mobility solutions.",
case_study,"In turn, the economic impact of 5G to the automotive sector represents about 20% of the total global economic impact, projected by HIS to be $12.3 trillion in 2035",
case_study,"The new study, Consumer Connected Cars: Telematics, In-Vehicle Apps & Connected Car Commerce 2018-2023 revealed that the rollouts of 5G networks in 2019 will be the key accelerant behind the expansion of V2V communications. It predicted that automotive OEMs will gravitate towards 5G for V2V communication over other technologies; owing to its lower latency and high range.",
case_study,"Intelligent navigation systems, using geo-positioning and digital maps to guide drivers and increase route efficiency are already in use. However, these units will be able to collect data from other cars, road authorities, etc. to calculate the best routes to be taken in any moment in time. The use of 5G networks, IoT and Big Data will allow these systems to become increasingly effective.",
case_study,C-V2X radio technology is state-of-the-art cellular technology and is being validated for global deployments. It leverages upper-layer protocols developed by the automotive industry over years of research to support new advanced end-to-end use cases. C-V2X direct communications provide enhanced range and reliability without relying on cellular network assistance or coverage,
case_study,"Overly also suggested that accurate testing of the technology could be difficult. �As with any rollout of new technology, the 5G networks are not going to be tremendously stress-tested before they go live,�",
case_study,"The first generation of a driverless automated car may come into play with the venture of 5G. With the help of�5G,�a mind-blowing relationship�can be attained between a smart city and an autonomous car. 5G will facilitate smart parking through efficient management of parking space thereby reducing traffic and pollution. Your car will sense and choose the optimal route by coordinating with your ETA at work based on traffic data communicated from other cars and the roadways.�",
case_study,"With a 5G connection, your car will know your ETA at work, taking the optimal route based on traffic data communicated from other cars and the roadways. While a handful of companies are working on this level of automation, the ability to deliver this type of functionality at scale will require the marriage of intelligent devices and the 5G network.",
case_study,"5G�s high bit-rate could enable the upload and download of high volumes of 3D mapping data or the upload of sensor data to develop vehicle autonomy AI. Crucially, the 5G standard is being specifically developed with ultra-reliable and low latency communications (URLLC) and massive Machine Type Communication (MMTC) in mind.",
case_study,"Sensors collect information such as soil moisture, fertilization, weather and transmit that through a gateway over cellular wireless network to a central hub providing farmers real time access to information and analysis on their land, crop, livestock, logistics and machinery.",
case_study,"Around the world, countless farmers are turning to the Internet of Things�(IoT)�to help optimise agricultural processes and prepare for the future. From irrigating blueberries in�Chile�to staving off crop disease in�India, IoT is helping farmers make huge advancements in water management, fertigation, livestock safety and maturity monitoring, crop communication and aerial crop monitoring.",
case_study,"The goal is to use automated driving technology, computer vision, telematics, and cloud-based mobile applications to help farmers double or triple their yields -- a feat that will be key to keeping up with global food demands as the Earth's population grows over the next thirty years",
case_study,"Technologies like soil sensors and yield mapping are already popular�for example, auto-steering, or portable, hand-free driving typically controlled by wireless devices, is used on over�50 percent�of U.S. corn and soybean acres",
case_study,"5G networks will move beyond the cliche of refrigerators that automatically reorder milk to fully integrated living spaces that adjust to the needs of every member of the family, providing home security, optimizing power and water usage, and personalizing entertainment.",
case_study,"5G will have a big impact on the auto industry. It will enhance connectivity and improve data management and sharing between automotive manufacturers and motorists, and provide opportunities for next-generation services within the automotive industry and the supply chain, allowing further improvement in vehicle design, vehicle production and performance. 5G networks will have the ability to support a large number of connected cars, provide always-on connections, focus on optimizing energy efficiency, provide real-time maintenance",
case_study,"The time-consuming combining of a huge amount of drone images in order to create a field view can only be done quicker using a faster processing computer. But real improvement can be made using faster wireless data traffic. 5G Fieldlab�s partner KPN (a Dutch telecom company) is developing new mobile technology for that purpose, which will increase uploading speeds from the drone threefold.",
case_study,"With tractors having sensors and with sensors also on the fields, farmers can record real-time data on the condition of the soil, the soil moisture, and the amount of sun the plants have received. The analysis of the data collected give farmers the insight they need to keep feeding the world in a smarter way.�",
case_study,"USSD requires far less signal strength than mobile data, meaning less power demand and therefore allowing devices to last longer in the field. For agriculture, this makes sensors simple to install in and around crops. There is no need for microprocessors and components to communicate the data, in turn reducing costs for manufacturing.",
case_study,"The projects include 5G RuralFirst, led by Cisco and lead partner University of Strathclyde, will deliver testbeds and trials, primarily on the Orkney Islands, to exploit 5G benefits for rural communities and industries like agriculture.",
case_study,"The applications of IoT-based smart farming not only target conventional, large farming operations, but could also be new levers to uplift other growing or common trends in agricultural like organic farming, family farming (complex or small spaces, particular cattle and/or cultures, preservation of particular or high quality varieties etc.), and enhance highly transparent farming.",
case_study,"By using various smart agriculture gadgets, farmers have gained better control over the process of raising livestock and growing crops, making it more predictable and efficient.",
case_study,"Smart farming is one of the few outstanding examples of how farmers can be empowered to harness new technologies that improve farming. Late last year, when several villages and cities around Punjab, Haryana and Delhi were engulfed in thick smog resulting from burnt crop residue, Taraori, a small village in Haryana, adopted climate-smart agriculture technology to break away from such archaic and hazardous crop management techniques.",
case_study,", 5G puts access speeds into the realm where they are faster than the time taken for people to realize a delay. Existing facilities like YouTube have created free depositories for hundreds of hours of educational material. The content for many university degrees, including some at�Harvard, are now largely free. To these, 5G will add new types of content, from augmented reality to virtual reality � tools whose bandwidth requirements are currently beyond commonly-available WiFi technology.",
case_study,"Along with the ability to connect to more devices, 5G developers boast that the new network will be significantly faster and will greatly decrease the delay time for downloads, expanding the capacity for mixed-reality content and video in the classroom.",
case_study,"According to Wired,These [5G] millimeter waves can transfer heaps of data at very high speeds, but they don't travel as far as the lower-frequency waves used in 4G networks.This leaves the millions of rural students still stuck in the digital divide, without Internet access at home unlike their urban peers.",
case_study,Many experts within the industry believe that the arrival of 5G will allow VR and AR technology to reach their full potential. Current speed and bandwidth limitations of 4G technology have so far meant that VR and AR are seen as a novelty rather than the incredibly diverse tools they could become.,
case_study,"5G technology could be used to improve instruction in a variety of ways, Verizon contends. In schools where teachers lack subject-matter expertise, perhaps because of teacher shortages, the technology could support holograms of educators with a strong background in the topic or experts from a field augmenting the instruction in the classroom.�Nixon-Saintil emphasized that the purpose would not be to replace educators, but support them.",
case_study,"In the education sector the possibility of personalising and contextualising the education connecting it to everyday experience reinforces learning and often increases students motivation since it shows its practical application side. Besides, it is a normal education approach to use different channels to convey and reinforce the message. As an example, studying on a book and also watching some clips on the subject presenting the same concepts in a different way, possibly being engaged in a game where playing requires understanding some rules that are being studied reinforces the learning process.",
case_study,"THE GOOD of 5G in education: Access to the greatest library in the world, Faster speeds, The Internet is really expensive in America, Government-protected information highway, Bipartisan and citizen support, The end of school days/failing?",
case_study,"This educational gaming use case of 5G is being pioneered in collaboration with Rooplay, a company seeking to remove restrictions on education by making games more accessible to children through cloud storage, and by creating an original platform of curated games that's safe, fast and fun.",
case_study,"The next-generation wireless standard, 5G, is at the heart of these new technological innovations, providing the architecture required to enable these high-bandwidth, low-latency applications",
case_study,"In the educational context, imagine training a batch of mechanical engineering students on machining. The trainer might just connect with an alumnus working in the industry to show the machining processes Live. A more structured approach could enable the alumnus give a case study and a project based on the organization's existing requirements. A sure outcome of this would be a better matched and trained work force for an organization",
case_study,use 5G networks and technology to facilitate simultaneous product customization and maximum production output without sacrificing flexibility traceability sustainability or safety. We did this by creating a network of connected machines that allow manufacturers to collect analyze and distribute data in real time. Enhancing connectivity and keeping workers continuously in the loop will enable manufacturers to acquire and access much larger amounts of data at far greater speeds more efficiently than ever before,
case_study,use Augmented Reality for troubleshooting to help mitigate the cost of breakdowns extra components material labor and buffers and reduce production downtime. We use AR to detect operational inefficiencies such as imperfect maintenance planning failure diagnostics but also for training. To date we have achieved time savings of up to 50 percent,
case_study,The high-precision tools were fitted with real-time motion sensors that were attached to NB-IoT modules. The data runs via a cellular IoT network over the company’s private cloud and back-end systems which make automatic calculations and intelligent analyses of the collected data. With connected screwdrivers the factory will be able to replace manual tracking of tool usage data with an automated solution � cutting the amount of manual work by 50 percent. And since the cost per device is so low the factory now plans to completely phase out manual tracking,
case_study,smart factories will be filled with sensors each monitoring different aspects of the working environment. They will likely include connected tools using information ranging from location to accelerometer data to understand where and how they are being used to guide workers accordingly,
case_study,5G will enable manufacturers to drive more functionality closer to the edge of the network. Because this network technology’s reliability is so high and its latency so low equipment can communicate wirelessly with back-end systems for time-critical operations in ways that were not possible before. this will combine fast production-line operations with the power of networked intelligence. We can expect new capabilities such as advanced visual recognition using the power of deep learning neural networks in the cloud. This will allow robotic systems to visually inspect products for quality control purposes in real time with a high degree of accuracy,
case_study,Smart manufacturing based on cyber-physical manufacturing systems (CPMS) has become the development trend and been widely recognized all over the world. Throughout the development trend of CPMS one of the key issues is industrial Internet-of-Things (IIoT) with the characteristics of automation smart connected real-time monitoring and collaborative control. Along with the permeation and applications of advanced technologies in manufacturing massive amounts of data have been generated in the manufacturing process,
case_study,manufacturers could eventually operate what’s called a lights-out facility wherein factory automation solutions think smart connected robots could supplant the need for manual labor. While that concept is still some way off manufacturers are eager to use 5G and the internet of things to digitally transform their operations,
case_study, Collect diagnostic data for fault prediction and assessment guide maintenance operations Life-cycle engineering: Collect diagnostic data to study how the operations can be improved design and deploy updates,
case_study, private 5G network inside factory site Remote: network slice for data transmission between different production sites and other parties,
case_study,Those who don’t pay attention to the capabilities and enablements that 5G brings will fail to plan how their systems are upgraded and turbocharged to leverage the power of the new-age network.According to Ericsson�s report on the 5G business potential critical control of production line robotics includes tethered or untethered robots that are controlled monitored and can be reconfigured remotely.This technology could be used in factory floor production reconfiguration and layout changes real-time analysis and even to steer a robot�s movement from a remote location,
case_study,5G plays a major role in connecting production line robotics by providing high-performance mobile services such as: Connectivity for robotics removing the need for fiber tethering Quick reactions to discrepancies helping to avoid damaging expensive components Live remote monitoring of video streams from robotics Low latency-enabled remote control applications,
case_study,With its ultra-low latency high data rates and capability to run a multitude of devices simultaneously in a cell 5G technology is particularly suitable for deployment in networked adaptive production facilities with extensive measuring and control engineering the pair say. The reason for this is that running precision machine tools in complex production processes demands extremely high standards of communications that must be both stable and reliable. 5G technology will permit the extensive use of wireless sensor connections for real-time data analysis ensuring that the adaptive control of production processes can be undertaken through short reaction times,
case_study,online augmented reality (AR)/ VR gaming or experiences. Also includes tactile internet experiences ( recreating sense of touch bionic suits). With accuracy for voice recognition technology and openended dialogue with computers being developed this could evolve towards voice interaction with virtual characters,
case_study, People and objects are and will capture more and more content in order to share it with others in the cloud. That means that the future 5G network should be able to support on demand high upload bandwidth and streaming from various devices / objects (camera health and wellness measurements building sensors�) in order to bring a good user experience in such a situation,
case_study, Media will become immersive and highly interactive to provide ambient media consumption at home but also on the move with content capable of following the users and adapt to his ambient for viewing New 5G capabilities will enable immersive video experience to retransmit holographic type video beyond telepresence (2D) closer to a virtual presence experience in 3D. In the business environment for instance people are more and more working in a collaborative way even in the same company in order to be more efficient and to accelerate the innovation to the market - immersive video conferencing will simulate the face to face experience that present videoconferencing systems do not allow,
case_study, This covers the many facets of media production.Content will be captured and shared immediately utilising 5G enabled cameras and microphone from anywhere to anywhere with additional metadata automatically preattached. The content will be worked upon by different users in multiple locations simultaneously and the content should be able to be automatically repurposed for different requirements i.e. second screens interactive games. The immediacy of access to content should drastically reduce media production timescales,
case_study, This covers the many facets of media production.Content will be captured and shared immediately utilising 5G enabled cameras and microphone from anywhere to anywhere with additional metadata automatically preatt,
case_study, Gaming will expand into a full immersive multi-sensorial environment which will result in a more realistic experience improved ability for users to collaborate within the game and no limitation on the number of simultaneous users. Similar to other media areas gaming is likely to move from a primarily �home based� experience towards an �anywhere� experience with user collaboration being both simultaneously in the physical world and the augmented reality domain based on the users actual location. Game development may also become more cooperative with users directly interacting with the developers in real time,
case_study, Download speeds are bound to increase at least tenfold compared to 4G and for true 5G standards it could be up to 100-fold. So if an HD movie takes six minutes to download in a 4G network with 5G it could take a handful of seconds. Also in the era of user-generated content photo and video upload speeds will improve fueling social media content,
case_study,5G promises to enable close to zero latency between a streaming source and the viewer (from tens of milliseconds to less than three),
case_study,The additional speed and capacity of 5G network technology could lead to the development of fresh content formats and genres. This could include cross-media, multi-lingual and interactive content.It could also enable new kinds of content entirely such as virtual reality and augmented reality
case_study,the arrival of 5G could mean a major step forward for public service media.new forms of broadcast content will be delivered to our 5G-compatible smartphones quickly and cheaply without the need to depend on Wi-Fi connectivity on performance or cost grounds.,
case_study,This project suggests that 5G could be the answer to cloud-based gaming's latency problem.The low latency of 5G will be the key differentiator from 4G,
case_study,5G aims to deliver more appropriate network speeds depending on the workload and requirements of the job. Many games especially on console and PC  demand tens or hundreds of GB of data Not only that but the constant adaptation of long-running games means equally large patches, fixes upgrades and the inevitable downloadable content (DLC)
case_study,Professional gaming requires a certain kind of technique. A computer a screen  a keyboard and a mouse must serve the gamer at the speed of thought and accuracy of a surgeon. The same applies to the gamer�s network connection. The 5G network passed the test with flying colors,
case_study,A gamer’s network connection must be sufficiently fast but the most important thing is the delay how quickly the system responds when a gamer presses a button or clicks on the mouse. If a connection is too slow or the delay is uneven it means that other gamers are one step ahead and a step in a shooter video game is the difference between life and death Today we played Overwatch over a 5G connection and I did not notice any difference between it and a fixed line connection. Its latency did not skip and it felt like a fixed connection,
case_study,it is becoming more popular to stream gaming sessions to online channels focused on eSports. During the 5G test bit flow was sent alongside gaming to Twitch Tv. A solid flow of bits run smoothly to the service,
case_study,Nvidia demonstrated GeForce Now’s capability with 5G during AT&T’s Spark Conference in San Francisco. According to The Register a fairly run-of-the-mill laptop was hooked up to a 5G base station and was able to achieve 60 frames-per-second framerate with only 16ms of lag. This could feasibly be reduced down to as little as 3ms in the future which Nvidia said could allow users to play virtual reality games without needing expensive extra hardware,
case_study,all games could take the streaming-only approach in the future.Microsoft’s is reportedly developing a second streaming box to sell alongside its next traditional Xbox console,
case_study, driverless vehicles enabled by V2I and V2V applications (includes e.g. collision avoidance application emergency braking intelligent traffic systems) ,
case_study,"Sensors embedded in roads, railways, airfields and vehicles will communicate with each other through the 5G network. Ericsson is fully aware that this use case is focused on massive machine type communication and is working to ensure that the 5G network has the necessary high coverage and low power consumption.",
case_study,"5G brings high reliability and low latency required to control critical services and infrastructure. This unlocks new opportunities for public safety, government, city management and utility companies.",
case_study,"5G technology will expand business opportunities through monitoring, tracking and automation capabilities on a large scale - from connected farms and agriculture to smart cities and buildings.",
case_study,Ericsson's 5G network allows for remote control of heavy machinery. This opens the way for new possibilities such as increased efficiency and reduced cost or risk reduction in hazardous environments.,
case_study,"The high performance of 5G networks will make IoT more accessible by humans, to enhance the awareness of the context in which people live. Ericsson 5G system allows for the context awareness that allows you to fill the gap between people and IoT.",
case_study,"The huge leap forward in connectivity that 5G will bring is set to increase profitability, efficiency and safety across a number of markets globally and many would argue, none more-so than in agriculture and farming.",
case_study,"It is now commonplace for most people to own mobile connected leisure wearables such as fitness trackers that actively capture, process and report real-time data that can then be accessed and assessed by the user. However, with the introduction of 5G, similar trackers will be able to make advantage of much faster connection speeds and ultimately transform the standard doctor/patient relationship around the world.  Clinical tracking devices and low-energy, low bit-rate sensors will allow doctors to remotely monitor and analyse patient’s vitals, activity and even potentially tell them whether the user has taken medication without the need to travel to a surgery or hospital location, freeing up vital time and resources to be used elsewhere. These devices are known as IoMT (Internet of Medical Things).  The data captured by IoMT devices will support fully-predicative analytics, greatly reducing the time it will take to detect a health issue and significantly increasing the accuracy of doctor’s diagnoses.",
case_study,"With 5G services, trips to your local doctor’s surgery could become a thing of the past. With the greatly improved data rates that 5G will bring, 3D ultra-HD live video streaming will allow you to connect with your GP in real-time and even access VR (virtual-reality) services simultaneously to help doctors to explain care and patients understand treatment.  These services are invaluable for those patients who are less able to access physical locations because of health issues or the rural location of their home.  Aside from patient care, the same remote streaming consultations could be used for professional training to other healthcare professionals around the world who would otherwise be confined to text-books or basic online learning resources. Using VR, medical students would be able to virtually follow a real-life example of patient care.",
case_study,"It may sound like something out of a science-fiction movie, but automated, assisted and fully-robotic services has already begun in surgeries around the world and will significantly improve with the introduction of 5G. This includes the use of haptic devices such as gloves, that allow a surgeon to wear a glove-like device to remotely move and ‘feel’ the patient they are operating on from a different location.  The use of such robotic devices could be used for extremely long surgeries where a human surgeon could become fatigued or lose concentration over a long period of time. Also, they could be used as an assistant to a human surgeon, guiding and assessing the patient as the surgeon operates.",
case_study,"Potentially one of the oldest and most important techniques for diagnoses comes from scanning a patient’s body for clues and information in to their condition. With 5G, scanning could be achieved at a fraction of the time it currently takes and made available for review more quickly and to more healthcare professionals in near real-time. The services could also feed in to the video and VR capabilities that 5G would bring, allowing for multiple patient assessment and ultimately more accurate diagnosis.",
case_study,Connecting private vehicles and public transport with 5G will completely revolutionize the way that we will travel in our day to day lives.,
case_study,"Having   a  network   capable   of  transferring   our   tactile  communication  through  Internet  will  help  us  to  move  from  today ’s content  and information  delivery  Internet  to  a  manual  skill set delivery  Internet .  This  will  create  new  ways  of  Tele - teaching and  T ele - mentoring especially for manual  training and skill development . The use of Tactile Internet in education  can bring new definition and experience for distance learning and distance team - working.  In order to have  a natural haptic interaction of ou r limbs with video and audio feedback the response time of service should  be very low, i.e., the round trip  time o f few m illiseconds which can be only envisaged by 5G.",
case_study,"Whi le the initial use  case  for VR was  the  entertainment industry,  it also has relevance in education and training, and will have a big role in providing quality education and improving  understanding - based learning among students.  By t ailoring these services  to education ,  ( e.g . by , having  virtual t our s of the human body with the possibility of interacting with model s and moving  the  different  layers of  the  body ) ,  the  learning process can be  more fun and  much more interesting. This also  can bring  new experience s for distance learning ,  enabling the vir tual  presence of students (e.g.,  located  in suburban  area ) in the classroom . This type of service need s very high bandwidth (bi - directional) and very low latency (i.e., 2 - 4ms). ",
case_study,"Similar to  the  VR,  AR  has  already  started  to  show  its  relevance  and  usefulness in education. Providing  the  necessary information can make contextualised learning ubiquitous  and pervasive.  AR can be an efficient way of providing  the  right amount of information at  the right time to  the right  audience .  Also, immersive AR can enable new way s of learning and team working in education  through services such as mobile cloud classroom and Virtual Presence .  Enhancing  the  learning experien ce  is not the only possible use  case for AR. It can also help teachers to get necessary information about each  student and be aware of their  particular need s and capabilities. The requirements for implementing such  services ,  including optimised routing, seamless wide - area coverage, virtual p resence, low delay speech &  video coding,  need to be considered .",
case_study,"By  combining  Tactile  Internet  and  VR ,  the  future  experience  in  teaching  and  learning could  go  far  beyond  today ’s exp erience . This  can  remove  the  physical  location  constraint  for  experimental  practices , and  facilitate and  enable the  shar ing of  resources between  larger numbers of  students irrespective  of  their  current  location .  The  impact  would  be  more  significant  in  hands - on - experience with expensive equipment and fa cilities.",
case_study,"Individual access to a mobile device holds the promise to connect each learner into  intelligent  personalised  systems  that  can  suggest  learning  pathways,  enable  aggregated  analysis  and  through better data capture of learner  experiences enable much better decision making about all aspects  of a students’ education.  Categorising students in different groups and suggesting different multi - media  contents can increase the load on the network. However, i n - network caching technologie s such as  Content  Centric  Networks  (CCN)  and  Inform ation  Centric  Networks  (ICN)  can  be  used  to  improve  efficiency  by  reducing the service response time and bandwidth consumption. ",
case_study,Today’s cloud - based  storage  services have  made  it possible  to access  files irrespective of device of use .  D ue to the centralised architecture of  cloud providers there is  a  notable delay  in access  to  the  content  even  with  a  relatively  fast  internet  connection.  Future  mobile  technology  will  4 enable single d evice content access anywhere by using distributed cloud and mobile edge computing. All  the  user needs is a device to access any of his personal content and stored file s .  Using this feature students  can  resume  their  work  at  a convenient  time  and  place  thro ugh  different  device s with  an  impression  of  immediate response time ,
case_study,"Advances in mobile technology and robotics can open new opportunities  to assist students  with  especial  needs ,  making learning easier  for  them .  Cloud - based  ro bots  can  be  considered as  a  full - time  assistan t for  disabled  students,  helping  them  to  interact  with  the  education  environment and  their  peers . Rather than having  to call a teacher over for help ( which can cost both the  student  and  the  teacher  time  they  c o uld  be  using  more  productively )  the  student s can  take  care  of  the  issue with the help of their robot. ",
case_study,"IoT applications are affecting all aspect of our life, from smart  building to smart healthcare. However, one of the fast growing area of these applications is in education  which can improve our today’s teaching, learning and campus operating experience. IoT applications c an  also help us change the role of teachers in the classroom, reducing the burden of administrative load on  them  and  allowing  them  to  concentrate  more  on  individuals.  B eing  automatically  logged  into  the  classroom  as  soon  as  entering  to  the  class ,  being  dis tracted  by  a  signal  as  soon  as  losing  concentration  during lecture, real - time feedback to a lecturer about areas that students still have problem based on  the  real - time  analyses  of their  notes,  all  are  just  few  examples  of  how  IoT  and  connected  classroom  c an  enhance learning and teaching experience.",
case_study,"In addition to sourcing environmental data, weather stations can automatically adjust the conditions to match the given parameters. Specifically, greenhouse automation systems use a similar principle.  For instance, Farmapp and Growlink are also IoT agriculture products offering such capabilities among others.  GreenIQ is also an interesting product that uses smart agriculture sensors. It is a smart sprinklers controller that allows you to manage your irrigation and lighting systems remotely",
case_study,"Probably the most popular smart agriculture gadgets are weather stations, combining various smart farming sensors. Located across the field, they collect various data from the environment and send it to the cloud. The provided measurements can be used to map the climate conditions, choose the appropriate crops, and take the required measures to improve their capacity (i.e. precision farming).",
case_study," One more type of IoT product in agriculture and another element of precision farming are crop management devices. Just like weather stations, they should be placed in the field to collect data specific to crop farming; from temperature and precipitation to leaf water potential and overall crop health.",
case_study,"Just like crop monitoring, there are IoT agriculture sensors that can be attached to the animals on a farm to monitor their health and log performance. This works similarly to IoT devices for petcare.",
