labels,titles,data,sources,links,types,date
socialmedia,Radar based motion sensor,Google wins U.S. approval for new radar-based motion sensor,facebook,https://www.reuters.com/article/us-google-sensor/google-wins-u-s-approval-for-radar-based-hand-motion-sensor-idUSKCN1OV1SH?fbclid=IwAR37hNayZXc3m7wxSp56R1k2FAwBQ9p4igqWZ_Ekqselkpk9otGWOm29pKU,Manufactoring,1/1/2019
socialmedia,Health warnings about 5G,Warning: Your Cell Phone May Be Hazardous to Your Health,facebook,https://www.gq.com/story/warning-cell-phone-radiation?fbclid=IwAR2ts7MgCmFgrC5bDg7K6yRmWizj2COrCPgqZakGO-82nULJavjwQKlRX2Y,Manufactoring,25/1/2015
socialmedia,Hacking high-tech car,Your High-Tech Car Is a Magnet for Hacking,facebook,https://www.bloomberg.com/news/articles/2018-12-17/your-high-tech-car-is-a-magnet-for-hacking?srnd=technology-vp&fbclid=IwAR2MP_VsNusLwXxhfnsgmjbjKF10F1BFm9xkTHV9zzA7K3bennhTpza-nO4,Manufactoring,17/12/2018
socialmedia,Technology stock,Technology stock woes cause investors to flee,facebook,https://mybroadband.co.za/news/business/290478-technology-stock-woes-cause-investors-to-flee.html?source=newsletter&fbclid=IwAR3KsfyO_CCyAgiou3mBwPL-H-Px_iZCOMsQgkZAuR2k87wvfkN48n_XK_A,Manufactoring,1/1/2019
socialmedia,Controll wireeless facilities,USA City Ordinances To Limit And Control Wireless Facilities Small Cells In Rights Of Ways,facebook,https://mybroadband.co.za/news/business/290478-technology-stock-woes-cause-investors-to-flee.html?source=newsletter&fbclid=IwAR3KsfyO_CCyAgiou3mBwPL-H-Px_iZCOMsQgkZAuR2k87wvfkN48n_XK_A,Manufactoring,31/12/2018
socialmedia,Impact of radiations on students health ,"Mobile Phone, Base Station, Tower Settings Adjacent to School Buildings: Impact on Students' Cognitive Health.",facebook,https://www.ncbi.nlm.nih.gov/pubmed/?term=Mobile+Phone+Base+Station+Tower+Settings+Adjacent+to+School+Buildings%3A+Impact+on+Students%E2%80%99+Cognitive+Health&fbclid=IwAR2ejFMjrU2aj6-7Nx3Af2tVKBDBq9ULq3xd03Sk-lZmwcl4_h0XnLrfO18,Manufactoring,7/1/2019
socialmedia,Electromagnetic radiation,Electromagnetic Radiation Safety: 2018 Year in Review,facebook,https://www.saferemr.com/2018/12/EMR-safety-2018.html?fbclid=IwAR1_7bbrFWWoO7a_EgEt2YOSHlabv6g1EjR1DPpqpQW21-KMV3Y6aQiOo0A,Healthcare,3/1/2019
socialmedia,radiofrequency radiation safety,Radiofrequency Radiation Site Safety Information,facebook,https://mailchi.mp/936a858e74f6/dec-2018-wrap-up-what-is-5g-592847?fbclid=IwAR2ZxAKm-9YX6nZXFblzTF95fyXOWIBTBAa0SLvBNdum6kZ5O0h3nZNXvzI,Healthcare,28/12/2018
socialmedia,America’s Communications Is Mired in a Toxic Swamp,America’s Communications Is Mired in a Toxic Swamp,facebook,https://medium.com/@kushnickbruce/2018-year-in-review-americas-communications-is-mired-in-a-toxic-swamp-3ed83177b32a?fbclid=IwAR3xqDJkJtpJRbDC-AzhEzagaArcLTUC9ZuEnZtqQhfZjB3e81GZq20l2cs,Healthcare,29/12/2018
socialmedia,Adopt an urgency ordinance and policies regarding 5G,Live updates: Tenant rights demonstration kicks off busy San Rafael council meeting,facebook,https://www.marinij.com/2018/12/17/live-updates-san-rafael-council-meeting-7-p-m-2/?fbclid=IwAR2CI78MU2kF3WOtgun05DUUVI4kkLaJkMMj04iR7HmWi10eLKSX3zyLoFc,Legacy,5/1/2019
socialmedia,Health  risk,Resistance to 5G: Roadblock to a High Tech Future or Warning of a Serious Health Risk?,facebook,https://www.theepochtimes.com/resistance-to-5g-roadblock-to-a-high-tech-future-or-warning-of-a-serious-health-risk_2705116.html?fbclid=IwAR2DAMQISlSk27zuQLDFWUhG0BwRWZM6bPQpHJgEG2ZWgpwuJoWSmocJLDE,Healthcare,1/1/2019
socialmedia,Wireline Broadband Deployment,Order Denying Motion for Stay in WT Dkt No. 17-79 and WC Dkt No. 17-84,facebook,https://www.fcc.gov/document/order-denying-motion-stay-wt-dkt-no-17-79-and-wc-dkt-no-17-84?fbclid=IwAR0I3GbE5ZPvUS_a4sxTzdilrY8jYmfhz4XzsbXEZr16-wW5O1HmY9iuGPU,Manufactoring,18/12/2019
socialmedia,THE ELECTROMAGNETIC SAFETY ,THE ELECTROMAGNETIC SAFETY ALLIANCE INC,facebook,https://emsafetyalliance.org/,Healthcare,10/10/2018
socialmedia,5G cells deployment,FCC Commissioner slams San Jose mayor for not approving 5G cells then slams him for approving them,facebook,https://www.theregister.co.uk/2018/11/09/fcc_commissioner_san_jose/?fbclid=IwAR0pwxbqml8P_fREHLO-gOfM3YPoQh0_sFCeHjGXLb0nUIt8TPDElxQ0GSE,Manufactoring,11/11/2018
socialmedia,Scientific papers on electromagnetic field,"PowerWatch: 1,670 Scientific Papers on Electromagnetic Fields",facebook,https://www.saferemr.com/2018/10/powerwatchlist.html,Manufactoring,18/10/2018
socialmedia,Electromagnetic pollution,Planetary electromagnetic pollution: it is time to assess its impact,facebook,https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(18)30221-3/fulltext?fbclid=IwAR1qa0Oxd8GnnGlgXMqxa3-kH1-U3KWrsANS0gxZmoNRLPi1XjFeJPU4gIE%20https://doi.org/10.1016/S2542-5196(18)30221-3,Healthcare,10/12/2018
socialmedia,Kids and screens,Fox News Covers 60 Minutes  Segment On Kids And Screens: Kids Brains Are Being Damaged,facebook,https://www.activistpost.com/2018/12/fox-news-covers-60-minutes-segment-on-kids-and-screens-kids-brains-are-being-damaged.html?fbclid=IwAR1Lq8STnr7uRpIOh4MqeuxlgjLo7UxfsziZJLnWCRyd3-o_h8JzcQ6JIFs,Education,13/12/2018
socialmedia,Kids health,Groundbreaking study examines effects of screen time on kids,facebook,https://www.cbsnews.com/news/groundbreaking-study-examines-effects-of-screen-time-on-kids-60-minutes/?fbclid=IwAR1v4EIqut4_C7xu4k-UhdqoKhmYi5iLdgHu_fFklpd1lfApSlrohlxQI90,Healthcare,14/12/2018
socialmedia,5G usage,Controversial Chinese 'gait recognition' technology being used to identify people by their WALK,facebook,https://www.dailymail.co.uk/sciencetech/article-6357013/Chinese-gait-recognition-tech-IDs-people-walk.html?fbclid=IwAR2b5xH9ekN8ivzB6XOpHz5WrRp6hEe32cbHPRD9ioJxp_x259VSl1ttUhI,Manufactoring,6/11/2018
socialmedia,radiofrequency radiation safety,H.R.7236 - Radiofrequency Radiation Site Safety Information Act of 2018,facebook,https://www.congress.gov/bill/115th-congress/house-bill/7236/text?fbclid=IwAR2OVuTCjYoIBrfgxZuLb0O6FQuoR276sMdBokgJMuB1r8riHDeHkPZdXTk,Healthcare,12/11/2018
socialmedia,REGULATE AND CONTROL WIRELESS FACILITIES,USA City Ordinances To Limit And Control Wireless Facilities Small Cells In Rights Of Ways,facebook,https://ehtrust.org/usa-city-ordinances-to-limit-and-control-wireless-facilities-small-cells-in-rights-of-ways/?fbclid=IwAR2GD-FvU-p9-VWO_ojBb2MdefcQNJ_udyWRnlAIXxUaqZntHqW7KMP1Kcw,Manufactoring,1/11/2018
socialmedia,Fake 5G icons,AT&T misleads customers by updating phones with fake 5G icon,twitter,https://www.theverge.com/2019/1/7/18172355/att-fake-5g-logo-rolling-out-samsung-lg,Manufactoring,7/1/2019
socialmedia,First 5G call on 600mMhz,"T-Mobile, Ericsson and Intel Complete World’s First 5G Call on 600 MHz",twitter,https://www.t-mobile.com/news/600-mhz-5g-call,Manufactoring,7/1/2019
socialmedia,5G smartphones,Sprint to debut 5G smartphones with Samsung in U.S. in summer,twitter,https://www.reuters.com/article/us-sprint-samsung-5g-idUSKCN1P11CD?utm_campaign=trueAnthem:+Trending+Content&utm_content=5c3380ec04d3011dbc88f9af&utm_medium=trueAnthem&utm_source=twitter,Manufactoring,7/1/2019
socialmedia,5G dangers,"5G dangers: The destruction of OXYGEN molecules and the stupid, evil, elected representatives who are allowing it to happen",twitter,https://www.davidicke.com/article/514153/5g-dangers-destruction-oxygen-molecules-stupid-evil-elected-representatives-allowing-happen,Healthcare,6/1/2019
socialmedia,5G router,D-Link thinks 5G will cut your cords forever,twitter,https://techcrunch.com/2019/01/07/d-link-thinks-5g-will-cut-your-cords-forever/,Manufactoring,7/1/2019
socialmedia,5G types,Millimeter wave to low-band: The different types of 5G and how they work,twitter,https://www.digitaltrends.com/mobile/5g-spectrum-variants/,Manufactoring,7/1/2019
socialmedia,Radio access network automation strategy,Cisco SONFlex Helps VodafoneZiggo Ready for 5G with RAN Automation,twitter,https://newsroom.cisco.com/press-release-content?type=webcontent&articleId=1956515,Manufactoring,5/1/2019
socialmedia,5G base stations,CES 2019: All the announcements in one place,twitter,https://www.androidauthority.com/ces/,Manufactoring,7/1/2019
socialmedia,Edge network,Intel targets new Snow Ridge 5G SoC at wireless base stations and network edge,twitter,https://venturebeat.com/2019/01/07/intel-targets-new-snow-ridge-5g-soc-at-wireless-base-stations-and-network-edge/,Manufactoring,7/1/2019
socialmedia,5G celle site deployment,"VIAVI CellAdvisor 5G is the ideal field portable solution for validating all aspects of 5G cell site deployment, maintenance, and management.",twitter,https://www.viavisolutions.com/en-us/products/celladvisor-5g,Manufactoring,5/1/2019
socialmedia,Enhanced version of 4G,AT&T Barrels Ahead With Its Bullshit Plan to Brand Enhanced 4G as '5G E',twitter,https://gizmodo.com/at-t-barrels-ahead-with-its-bullshit-plan-to-brand-enha-1831562326?utm_source=dlvr.it&utm_medium=twitter,Manufactoring,5/1/2019
socialmedia,10nm PC products for AI and 5G,CES 2019: Intel unveils 10nm PC products for AI and 5G,twitter,https://www.zdnet.com/article/ces-2019-intel-unveils-10nm-pc-products-for-ai-and-5g/?utm_source=dlvr.it&utm_medium=twitter#ftag=RSSbaffb68,Manufactoring,5/1/2019
socialmedia,Smart cities,5G and smart cities trends for 2019,twitter,https://www.computerworlduk.com/iot/5g-smart-cities-trends-for-2019-3689767/?utm_content=buffer21c7a&utm_medium=social&utm_source=twitter&utm_campaign=buffer,Manufactoring,3/6/2018
socialmedia,5G for hostpitals,AT&T and Rush System for Health Ink Agreement to Use 5G in Hospital Setting,twitter,https://about.att.com/story/2019/att_collaboration_to_create_hospital_of_future.html,Healthcare,8/1/2019
socialmedia,Cable's 5G transport Role,Cable's 5G Transport Role: Promise Meets Complexity,twitter,http://www.heavyreading.com/details.asp?sku_id=3567&skuitem_itemid=1788,Manufactoring,8/1/2019
socialmedia,5G base stations,Intel targets 5G base stations with Snow Ridge chips,twitter,https://shoplots.uk/2019/01/08/intel-targets-5g-base-stations-with-snow-ridge-chips/,Manufactoring,4/1/2019
socialmedia,5G hype,When 5G Hype Becomes Reality,twitter,https://www.forbes.com/sites/forbestechcouncil/2019/01/08/when-5g-hype-becomes-reality/?utm_source=dlvr.it&utm_medium=twitter#6dcc6af682f6,Manufactoring,1/1/2019
socialmedia,5G advertising and marketing,AT&T is mendacity to prospects with 5G advertising and marketing,twitter,https://tech.rapida.co/2019/01/07/att-is-lying-to-customers-with-5g-marketing/,Manufactoring,28/12/2018
socialmedia,V2X technology,Ford selects 5G networks to integrate V2X technology in 2022,twitter,https://www.motorauthority.com/news/1120772_ford-selects-5g-networks-to-integrate-v2x-technology-in-2022?utm_source=dlvr.it&utm_medium=twitter,Manufactoring,15/12/2018
socialmedia,OnePlus 5G,OnePlus 5G,twitter,http://latestmobilephones.co.in/oneplus-5g.html,Manufactoring,2/1/2019
socialmedia,Where does IoT and 5G come together,Where does IoT and 5G come together,twitter,https://blogs.keysight.com/blogs/inds.entry.html/2018/11/29/where_does_iot_and5-wJY5.html?sf204127705=1,Manufactoring,5/1/2019
socialmedia,5G news,We are on the road to 5G,twitter,https://blogs.keysight.com/blogs/inds.entry.html/2018/11/29/we_are_on_the_roadt-R4cY.html?sf204127772=1,Manufactoring,5/1/2019
socialmedia,5G software updates,"AT&T decides 4G is now 5G, starts issuing icon-changing software updates",twitter,https://arstechnica.com/gadgets/2019/01/att-decides-4g-is-now-5g-starts-issues-icon-changing-software-updates/,Manufactoring,14/06/2018
socialmedia,What is 5G,What is 5G? Everything you need to know,twitter,https://www.techradar.com/news/what-is-5g-everything-you-need-to-know,Manufactoring,6/5/2018
socialmedia,5G transformation,5G’s arrival is transforming tech. Here’s everything you need to know to keep up,twitter,https://www.digitaltrends.com/mobile/what-is-5g/,Transportation,11/10/1018
socialmedia,AT&T fake 5G network,AT&T gets burned by rivals over its fake 5G network,twitter,https://www.engadget.com/2019/01/08/verizon-t-mobile-burn-att-fake-5g/,Manufactoring,1/1/2019
socialmedia,Version's 5G promizes,Verizon’s 5G promise: It wont falsely claim 4G phones are really 5G,twitter,https://arstechnica.com/information-technology/2019/01/unlike-att-verizon-says-it-wont-slap-5g-label-on-4g-phones/,Manufactoring,5/1/2019
socialmedia,5G for business,5G open for business,twitter,https://www.ericsson.com/en/5g,Manufactoring,1/1/2019
socialmedia,The down of the 5G world,The down of the 5G world,twitter,https://www.forbes.com/sites/att/2018/12/19/the-dawn-of-the-5g-world/#388cfaa25ab3,Manufactoring,15/8/2018
socialmedia,Fake 5G icons,Verizon says it won’t launch fake 5G icons like AT&T did,twitter,https://www.theverge.com/2019/1/8/18173716/verizon-5g-fake-icon-att,Manufactoring,13/12/2019
