Label,data,,,
healthcare,"With 5G services, trips to your local doctor�s surgery could become a thing of the past. With the greatly improved data rates that 5G will bring, 3D ultra-HD live video streaming will allow you to connect with your GP in real-time and even access VR (virtual-reality) services simultaneously to help doctors to explain care and patients understand treatment.  These services are invaluable for those patients who are less able to access physical locations because of health issues or the rural location of their home.  Aside from patient care, the same remote streaming consultations could be used for professional training to other healthcare professionals around the world who would otherwise be confined to text-books or basic online learning resources. Using VR, medical students would be able to virtually follow a real-life example of patient care.",,,
healthcare,"It may sound like something out of a science-fiction movie, but automated, assisted and fully-robotic services has already begun in surgeries around the world and will significantly improve with the introduction of 5G. This includes the use of haptic devices such as gloves, that allow a surgeon to wear a glove-like device to remotely move and �feel� the patient they are operating on from a different location.  The use of such robotic devices could be used for extremely long surgeries where a human surgeon could become fatigued or lose concentration over a long period of time. Also, they could be used as an assistant to a human surgeon, guiding and assessing the patient as the surgeon operates.",,,
healthcare,"Potentially one of the oldest and most important techniques for diagnoses comes from scanning a patient�s body for clues and information in to their condition. With 5G, scanning could be achieved at a fraction of the time it currently takes and made available for review more quickly and to more healthcare professionals in near real-time. The services could also feed in to the video and VR capabilities that 5G would bring, allowing for multiple patient assessment and ultimately more accurate diagnosis.",,,
agriculture,"  5G will provide real-time data in amazing ways and when used alongside agricultural practices, these new abilities to monitor, track and automate systems in lightning fast speed with will give rise to smart-farming.  Agricultural IoT (internet of things) devices will allow farmers to better measure things on a day-to-day basis. Things like crop communication; Allowing sensors to communicate moisture, fertilization and nutrition levels as well as report on current and predicted weather patterns to allow for improved crop management and livestock analysis; Monitoring of livestock maturity and nutrition, again using sensors to connect and transmit data to a central hub and allow farmers to know exactly when livestock is ready for processing.",,,
healthcare,"The latest Ericsson ConsumerLab report reveals consumer and industry insights on the impact of 5G on the future of healthcare and its transformation across preventative, routine and post-operative care.",,,
healthcare,"In order for the transformation of patient applications to happen, patient data will need to be stored centrally, effectively turning hospitals into data centers and doctors into data scientists. Patients will get online access to a central repository of medical records to help them easily manage the quality and efficiency of their care. 45 percent of the cross-industry experts consider this a breakthrough in healthcare provisioning, while 47 percent of telecom decision makers say that secure access is a key challenge.",,,
healthcare," Improving lives through modernized IT operations  Sharp HealthCare caregivers can now access, store, and share data more efficiently through a more secure and available network. Cisco ACI and Splunk data-center solutions have dramatically reduced the time and effort of systems maintenance and audits, and obtained better infrastructure management monitoring and troubleshooting. ",,,
automative," Connecting data centers on campus and beyond  As one of the fastest-growing universities in the state, UCCS uses Cisco ACI to support its rapid growth. UCCS connected data centers in remote campuses, boosted operational efficiency, and increased network security. The automated network has zero downtime, resulting in a stable environment for educators and students. ",,,
automative,Learn how Cisco is working with Alaska DOT to improve safety on remote highways.,,,
automative,"A startup homegrown out of Southeast Asia, Grab (formerly GrabTaxi) is a leading technology company that provides transportation and ride-hailing solutions to enable mobility across Southeast Asia. Established in 2012, Grab offers a wide portfolio of transportation solutions, ranging from a network of taxis (GrabTaxi) to a private car solution (GrabCar) to a two-wheeled solution to beat the traffic (GrabBike).  Now spread across 40 cities in 7 countries across Southeast Asia (as of April 2017), Grab is expanding rapidly around the region, to enable users and drivers with its mobile application to provide a seamless experience for moving people from one place to another. Regional IT Networks Manager Kevin Lam is responsible for building and managing the Grab corporate network for thousands of users who work at and visit Grab offices across Asia everyday.",,,
automative, Transforming public transit in Austria  LINZ AG looked to solutions from the Internet of Things (IoT) and Cisco to convert its current system to a digital and connected transit system with enhanced services and an outstanding passenger experience. ,,,
automative,"A consolidated single IP network provides real-time monitoring of rail conditions, more passenger services and less network downtime.",,,
automative," The world�s busiest port just got busier  Running 24/7/365, the Port of Shanghai has earned its title as the world's largest shipping port, handling more than 40 million containers every year. How does the port do it? With an intelligent automation software running on Cisco HyperFlex. ",,,
automative,     Legacy infrastructure had become hard to scale     IT lacked insight to improve operational efficiencies and customer experience ,,,
automative," San Diego brings data insight to public transportation  The San Diego Metropolitan Transit System (MTS) provides transport to a large resident population each day, as well as hosting visitors and large events. The MTS worked with Cisco, Davra Networks, and Intel to provide real-time ETA arrival updates to passengers, predictive maintenance onboard vehicles, and telemetry data that can improve vehicle efficiency. ",,,
automative,"Transport for Greater Manchester (TfGM) delivers and develops public transport  services for 2.55 million residents. It is the second largest metropolitan area in the  U.K. and the largest outside London. TfGM runs the Metrolink tram service, which  is undergoing a �1.4 billion expansion and modernization program, and operates  transport modal interchanges, bus stations, and bus stops. It is also responsible  for the day-to-day management of traffic signals on the city�s major highways. Having replaced the previous Greater Manchester Passenger Transport  Executive, the role of TfGM in the community has grown significantly. For  example, it assumed responsibility for developing an Urban Traffic Control  scheme designed to help ensure that the city�s traffic flows freely. In addition, it  has an increasingly important responsibility for passenger safety and security.   However, TfGM faced several challenges. The organization needed to standardize  and centralize its IT architecture, because each site had a separate infrastructure.  For example, 20 bus stations might have 20 different CCTV systems. Also,  although a single maintenance contract with one supplier was already in place,  that company had to support many different systems. �Previously we had an MPLS network that just supported corporate processes,�  says Rohan Mendis, ICT consultant for TfGM, �but to introduce services like  IP CCTV, we needed to upgrade to a new multiservice network with greater  capability.� So, before it could start on the all-important task of optimizing  transport operations, TfGM first needed a common IP platform over which it  could standardize IT services and operational processes.",,,
automative," Modernizing to gain security and flexibility  Transpo Services is a small business that provides business services to moving and relocation industry clients. Today it offers employees the flexibility to work from home and stay connected on the go with a secure, easy-to-use remote login system--but it wasn't always this way. Faced with unreliable email, slow Internet connections, and the growing threat of ransomware, Transpo turned to Cisco for help modernizing its IT infrastructure. ",,,
automative,"Transwestern and Metropolis Investment Holdings connected people, process, data, and things to building-wide IP network, transforming building efficiency and tenant experience.",,,
automative," Focusing on security while customers focus on experience  Turkish Airlines serves more destinations in the world than any other airline carrier. The airline recently upgraded to Cisco AMP for Endpoints and Cisco Umbrella to gain more effective threat hunting and incident response capabilities, resulting in greater security for their customer and business data. ",,,
healthcare,     Pionier in post-revalidatie met 150 pati�nten     Full stack Meraki netwerk beheerd in ��n dashboard     Inclusief gebruiksvriendelijke MV beveiligingscamera's ,,,
healthcare,     Changed switches in all buildings within hours with configuration templates     Discovered over 200 medical devices with Meraki Enterprise Mobility Management     Educated new employees about entire Meraki network within 20 minutes ,,,
healthcare,     Largest post-acute care provider in the US deploys HIPAA-compliant Cisco Meraki     Zero-touch deployment with easy centralized management     Site-to-site VPN connects remote branch locations securely ,,,
healthcare,     ABHOW saves 67% over 3 years by replacing legacy solution with Cisco Meraki MXs     Seamlessly connected 15 branch locations with cloud enabled site-to-site VPN     Built a secure network to handle sensitive data and is fully HIPAA compliant ,,,
healthcare,"     Audiology company with 60+ sites in AU uses Meraki MR, MX, MS, and EMM     IT team of 2 gets full visibility into potential network issues as they arise     EMM solution used to manage fleet of computers across growing number of clinics ",,,
healthcare,"     New Zealand ambulance service relies on Meraki to serve 400,000 inhabitants     MR APs and MS Switches help transfer sensitive patient stats and digital docs     Painless deployment took only 5 minutes to configure MR APs in the head office ",,,
healthcare,"     SWASFT provides emergency and urgent care services to 20% of mainland England     Cloud-managed Meraki APs allow employees to connect in the field or at stations     Based on location sizes, the IT team can use templates to roll out similar sites ",,,
healthcare,"     Swiss-based manufacturer of shakers, bioreactors, and bioprocess software     Deployed Meraki switches and APs to centrally manage all branches     Custom settings control user devices and WiFi-enabled machinery ",,,
healthcare,"     Rehabilitation clinic in southeast Switzerland sees 5,000 patients annually     Segmented SSIDs provide support for WiFi-dependant medical devices     Layer 7 application traffic shaping prevents bandwidth abuse ",,,
healthcare,"      Cloud-based platform enables multi-site management over three medical divisions     150 Meraki APs provide full wireless coverage across all patient and guest areas     Over 8,500 distinct users access the network and transfer over 1.6 TB each month ",,,
healthcare,     HIPAA-compliant network solution for nonprofit with 36 branches and 850 employees     Remote management capabilities of cloud-based platform greatly reduce on site visits     Layer 7 client fingerprinting and traffic analytics help shape access policies ,,,
healthcare,"on-profit organization with 5,000+ employees across 38 agencies in 11 states Cloud-managed WiFi, switching, and security ensure HIPAA-compliant networking MX security appliances provide VPN network for access to health records and HR data",,,
healthcare,     Healthcare management and consulting services firm deploys self-healing mesh network     Cloud-based management empowers one remote help desk to solve client issues     802.1X authentication and virtual guest isolation protect sensitive information ,,,
healthcare,"     Multi-site nursing management company deploys HIPAA-compliant wireless network     Meraki dashboard makes centralized management easy, saves money and time     Visiting doctors and guests have secure wireless access, separate from the LAN ",,,
education,     Full stack IT solution keeps students and faculty connected across campus     Robust connectivity and zero lag make for a successful eSports program     Easy-to-manage security cameras keep students safe in dorms ,,,
education,     ?????????????????????????????????????????????????????????     Cisco Meraki????????????????????????????? ?Systems Manager EMM (MDM) ???     ?????????????????????????????????????????????????????????????? ?????????????????? ,,,
education,"     Community college deploys APs, switches, and security appliances on two campuses     Integration with Cisco ISE authenticates users onto Wi-Fi seamlessly     Visibility in the dashboard allows small IT team to quickly solve network issues ",,,
education,     Deployed Meraki to support digital learning initiatives across campuses     Multigigabit access points and switches future proof the network     Centralized management provides enhanced visibility in network analytics ,,,
education,     ?????????????????????????????????????     ??????????????????API????????????????????????MR ?????????MS ???????     ??????????????????????????????????????????? ,,,
education,"     College campus needed higher bandwidth and secure network access for students     Upgraded wireless, switching to support video learning and network connectivity     Preconfigured hardware before unboxing, ensuring an error-free deployment ",,,
education,"     One of the largest universities in Finland with 8,500 students     Hybrid network caused challenges due to lack of overview     Meraki dashboard makes monitoring and troubleshooting easy ",,,
education,"     Layer 2 to Layer 3 transition to improve bandwidth efficiency and management     Adoption of Meraki wireless, switching, security, and EMM across multiple sites     New campus in Surprise, AZ set up entirely using Meraki networking equipment ",,,
education,     550 mobile devices managed remotely with Meraki�s Systems Manager.     Geofencing rules control students� activities while on the school premises.     A full-stack Meraki solution enables seamless troubleshooting across the network. ,,,
education,     Universidad implementa AP Cisco Meraki     M�s de 4000 personas conectadas     112 puntos internos y 7 puntos externos ,,,
education,     High throughput wireless network with a growing user base     Consistent policies across wireless and wired networks     Delivered an improved wireless experience while integrating into existing infrastructure ,,,
education,     Seamless WiFi across high-density campus with Cisco Meraki wireless APs     Expansion of 802.11ac in campus buildings with the deployment of over 100 MR32s     Round-the-clock intrusion prevention in residential housing units with Air Marshal ,,,
education,"     Organisation provides education and support to those with autism     Composed of 6 units with numerous locations around Brugge, Belgium     Deployed Meraki APs, MX, and MDM for remote, centralised management ",,,
education,"     School providing primary and secondary education in Antwerp, Belgium     Deployed Meraki APs, security appliances, Layer 3 switch, and MDM     Unified, centralised dashboard makes management simple for small IT team ",,,
education,"     International university in Rome offering undergraduate and study abroad programs     Deployed Meraki APs, Layer 3 Access Switches, and Aggregation Switches     Benefiting from centralised management, visibility, and granular customisation ",,,
education,"     Spanish University provides bachelors, vocational, and postgraduate studies     Meraki 802.11n & 11ac APs provide reliable WiFi in high density campus     MDM profile on devices simplifies management and provides added security ",,,
education,     Australian higher education company deploys Meraki full stack worldwide     Dashboard provides visibility and helps IT team make modifications on the fly     Real-time analytics enable IT to prioritize resources and device updates ,,,
education,     French engineering school with 5 sites deploys Meraki APs & Security Appliances     Site-to-site VPN allows small IT team to easily manage distributed sites     Fine-grained settings ensure high performance in challenging WiFi environments ,,,
education,"     Multi-campus city college deploys cost-efficient WiFi to support 90,000+ students     Cloud management provides heightened visibility and control, saves IT staff's time     Thousands of clients transfer over 100 GB daily ",,,
education,     Syracuse's London campus provides WiFi to allow study-abroad students to call home     35 dual-radio APs provide reliable wireless coverage for students and staff     MX Security Appliances create site-to-site VPN tunnel to main Syracuse campus ,,,
education,     Leading Dutch academic research & cultural heritage institution deploys Cisco Meraki     Seamless 802.1X RADIUS integration with eduroam     Naturalis Biodiversity Center branded splash page designed using the dashboard ,,,
education,"     Independent schools in Milan deploy Cisco Meraki WiFi & switches across 6 locations     Seamless RADIUS integration enables simple, secure authentication for staff & pupils     Plug-and-play deployment enables each school to be live within a day ",,,
education,"     University research center provides wireless for 29 residential buildings     Single internet connection powers large mesh wireless network in rugged environment     Self-healing outdoor APs withstand storms, re-route traffic during connectivity loss ",,,
education,"     Cloud-managed WiFi and switching support 14,000+ students and BYOD for all campuses     Plug-and-play APs with mesh enable spontaneous creation of new learning spaces     One-click security configuration facilitates network segmentation ",,,
education,"     Meraki APs provide seamless WiFi for 12,000+ students across 3 campuses     Multiple SSIDs securely separate network access for different classes of users     IT staff has complete visibility of users and devices via web-based dashboard ",,,
education,"     Liberal arts college blankets 111 acre campus with wireless for over 1,100 students     1,500 clients access Meraki network each day, transferring over 180GB of data     Limited IT staff troubleshoots connectivity over the web, without special training ",,,
education,"     High performance Meraki APs provide coverage for 3,000 acre women's college     �Insanely fast� network installation with PoE and no per-AP configuration     Dashboard provides visibility into network performance and connected devices ",,,
education,"     Thousands of users over 20 campuses nationwide, managed over the web centrally     Hassle-free deployment of wireless access points � one day for each college campus     Superior control and reporting functionality ease IT burden ",,,
education,     Rapidly growing high-tech law school needs scalable wireless solution     70 APs deployed in one day with no downtime for users     Cloud-managed wireless offers built-in redundancy without requiring on-site support ,,,
education,"     Multi-discipline school in Denmark provides specialized skills courses for students     Meraki APs offer robust wireless for daytime students, boarding students, and guests     Active Directory with captive portal required for student authentication ",,,
education,"     Beacon status sixth-form college rolls out full WiFi coverage across 14-acre campus     100+ Meraki wireless APs installed in 2 weeks     1,800 students plus staff enjoy fast, reliable WiFi connectivity for the first time ",,,
education,"11,000+ students across 3 campuses served by 100 APs and 3 security appliances College branded splash pages used for staff/student and guest login Entire network managed without dedicated staff",,,
education,     Meraki access points provide seamless and reliable coverage a massive campus     Complaints about the performance of the University�s WiFi fall to zero     Meraki enables the University to prevent unauthorized guests onto the network ,,,
education,"     After an incident occurred in the dorms, the school needed improved cameras     Deployed one hundred security cameras across campus     Students now feel safer and more secure since the new cameras were deployed ",,,
education,     Need to update network connectivity in the district     Desire to provide one-to-one technology solutions     Need for a flexible and scalable network solution ,,,
education,"Established in 2000, Fondazione Milano is formed of four independent schools specialising in Music, Languages, Drama & Film/Television. The schools educate more than 2,500 students with over 400 staff members that are distributed across six campuses in Milan, Italy.",,,
education,"Hanyang  University  (university  president  Lee  Yeongmu),  which  pride s  itself  as  the  best  in  university  informatization,   making  a  great  achievement  again.  Hanyang  University  is  implementing  the  �New  Hanyang  2020�  project  to  become   one of  the  top 100 global universities in 2039 when it will celebrate its centennial  year . As part of laying the foundation  for the project, Hanyang Univ ersity completed phase 1 of the Hanyang Cloud Center project that integrates data centers  at the Hanyang University Seoul campus, ERICA campus, and Hanyang Women�s University . It is  significant  that Hanyang  Cloud  Center  is  designed  to  implement  SDN  (Softwa re  Defined  Networking)  to  respond  to  the  rapidly  changing   environment, and upgraded the IT infrastructure (wired/wireless backbone, server farm, security) in a future -oriented  way.  Hanyang  Cloud  Center  plans  to  provide  the  optimal  service  to  all  school  mem bers  by   continuously  advancing  its  infrastructure  to improve cost structure , as well as system operation efficiency by concentrating its  IT resources  on  the  Hanyang School Foundation  at  Hanyang Cloud Center. <Editor",,,
education,"Connected School buses help schools improve safety, efficiency, mobility and productivity with onboard Wi-Fi and video surveillance. ",,,
education,     Provide a more engaging alternative to traditional rote learning     Role-model concepts like gamification and problem solving with teachers and students across the country ,,,
education," Safeguarding students and staff at scale  Located northwest of Dallas, the Lewisville Independent School District (ISD) needed an affordable, effective way to secure their 53,000 students and 6,000 staff members. Learn how Cisco�s security architecture, based on Cisco Umbrella and Cisco Firepower Next-Generation Firewall, exceeded their expectations. ",,,
education," A secure approach to networking and research  Montana State University (MSU) is a leading public research university, ranking in the top 3 percent nationwide and investing more than $130 million annually. The university's commitment to learning, discovery, and engagement extends to IT. MSU uses Cisco Digital Network Architecture (DNA) with Software-Defined Access (SD-Access) and collaboration solutions to help push the boundaries of research. ",,,
education,"ConvergeOne, a Cisco Gold Certified Partner, has a long history working with  schools. So it already knows to expect that every school system will have its own  unique needs.  But even so, Montebello Unified School District stood out as a special challenge.  Montebello is part of Los Angeles County. Ten miles away is a thriving downtown  that is renowned worldwide as a hub of innovation, influence, and wealth. But for  many of the students in Montebello USD, those ten miles could just as easily be a  thousand. They live in households that don�t have computers or Internet access;  and although the school system strives to fill the technology gap, it has come  up short.  Way short. When the district turned to ConvergeOne�an established leader in matching  technology to pedagogy�the solution provider approached the challenge by  beginning where it always begins. It set out to get a full picture of the problem.  �We start with a Right Foundations assessment,� explains Robert Redd,  ConvergeOne�s Director of Public Sector. �This is our opportunity to level-set.  We go closet to closet and classroom to classroom to understand the customer�s  environment, the gaps, the limitations, what�s already in place.� What they found was a network that was badly antiquated, with servers that  couldn�t be repaired and Internet connections that couldn�t be activated.",,,
education,"New York University in Shanghai is the first Sino-US joint venture with  independent legal status that�s been approved by the Ministry of Education  in China. It�s part of NYU�s global network that also includes a site in  Abu Dhabi and its original campus in New York City. Connecting these  universities with each other presents a big security challenge. Not just from  a network security standpoint�handling mobile apps, BYOD, staff, students,  and branches around the world. But the research different departments are  doing needs to be both shareable and protected.  As one of Cisco�s biggest partner in China, our experience gave us the  expertise to build a solution that could grow with NYU Shanghai. Using   Cisco Enterprise and Security, ECCOM took a systematic Information  Security Lifecycle approach to establish a sound security management  foundation, building NYU Shanghai an IT infrastructure that can respond   to any security challenge. Meet other Cisco partners helping customers around the world",,,
education,  Education,,,
education, OIST's IT strategy and Cisco Digital Network Architecture  Okinawa Institute of Science and Technology shares their IT strategies and how Cisco Digital Network Architecture helps their automation and security. ,,,
education," Higher student engagement at a much lower cost  Open Access College provides lessons remotely, mainly to students between 5 and 18-years-old who are isolated through illness or geography. Formerly, classes used audioconferencing, but this type of communication was pretty much one-way, and it was costly. Using Cisco solutions, they cut costs and created an agile, more connected learning environment. ",,,
education, Changing the way we learn  Uruguay's Plan Ceibal uses TelePresence to teach English as a second language in all public schools across the country. ,,,
education,     Provide Wi-Fi on school buses so students can do homework on long commutes     Build an app for parents to confirm their children are on the bus     Connect entire communications network to fleet management and emergency services ,,,
education,Harnessing the Power of the Network Intuitive,,,
education," Giving students hands-on cloud experience  Striving to prepare students for real-world situations, Republic Polytechnic School of Infocomm recognized that graduates will most likely encounter private and hybrid cloud environments in the workplace. It needed a unified infrastructure to support a cloud-computing center where students can gain experience and also enable staff to automate services provisioning. ",,,
education,"10 years ago, Ringwood Secondary College had the IT network of a humble SMB. Today its network  matches, or even exceeds, the infrastructure of many Fortune 500 companies. All thanks to Cisco  Hyperflex.",,,
education,"Benefiting from an extended data center network  Germany's largest technical university built a powerful network with elastic scalability that is easily managed with Cisco ACI automation capabilities. This data center solution allows Rheinisch-Westf�lische Technische Hochschule (RWTH) Aachen University to handle extremely large data sets from numerous academic departments, research groups, and industry organizations, including the Large Hadron Collider at CERN",,,
education," Making a secure digital learning environment  How do you securely implement a new digital learning initiative that requires providing over 27,500 students and teachers with mobile devices? SMSD leveraged Cisco Security and Collaboration Enterprise License Agreements (ELA) to efficiently and cost-effectively deliver the technologies they needed. ",,,
education,     Need to provide technical support to low-income and at-risk students     Desire to create an academy focused on specialized student learning     Desire to create a 1:1 learning network for incoming freshman students ,,,
education," Connect students and devices for blended learning  St. Vrain Valley School District has built an Innovation Center that encourages imaginative projects, such as virtual reality, drones, app development, and robotics. Wireless devices play an important role helping students personalize learning at their own pace and direction. To enable a secure, intuitive wireless experience, St. Vrain deployed the Cisco DNA Service for Bonjour across the entire district. ",,,
education,"Study Group, a global education company, focuses on language education, higher education, and career education in 43 schools and 78 office locations worldwide. The primary goal is to prepare students to be successful in a global economy. By partnering with universities and schools around the world, Study Group functions both on-site and also has separate facilities for students to fulfill their educational goals.",,,
education,"SVKM�s NMIMS University opens up a world of learning possibilities with Cisco.  Collaborative learning spaces, seamless mobility across campuses and learning experiences beyond geographies made possible with Cisco�s new age collaboration solution",,,
education, Better Wi-Fi need becomes learning experience  Toronto District School Board leverages a single framework to support the next generation of networks and the tools to manage them.  ,,,
education,"From their desks in upstate New York, students in Troy City Schools are seeing it all. Students who had  never been on an airplane are going on private tours of a cockpit. They�re getting an inside look at the  Baseball Hall of Fame. And they�re asking biologists  all  their questions about butterflies",,,
education," Building a better network at UAM  It is no small feat to build a better network with automation while keeping more than 38,000 students and staff connected. With help from Cisco DNA Center, the five-person IT team at Universidad Aut�noma de Madrid (UAM) is automating operations, reducing incident response times, and taking a more proactive approach to security. ",,,education
education, Enhancing educational experiences  Universidad EAFIT is one of the most prestigious educational institutions in Colombia,,,
education,     Improve security and speed access to learning     Attract new students ,,,
education,"Liberating classes with secure access anywhere  Universidad de Salamanca, an 800-year-old university in Spain, uses Cisco solutions to give students the opportunity to achieve educational success through open communication and collaboration�everywhere, on any device",,,
education," Connecting data centers on campus and beyond  As one of the fastest-growing universities in the state, UCCS uses Cisco ACI to support its rapid growth. UCCS connected data centers in remote campuses, boosted operational efficiency, and increased network security. The automated network has zero downtime, resulting in a stable environment for educators and students. ",,,
education,"niversity of Nagasaki is improving the quality  of education and responding to the changing  needs of society, particularly in the area of  cybersecurity. The school reorganized its  departments in 2016, and established the  first information security department in a  Japanese university. The University of Nagasaki Information Systems  Faculty Information Security Department aims to  train information security technicians who can  handle operations on the front line. �The students of the current generation have  a growing awareness and concern about  security,� says Fumiko Komatsu, Information  Security department head. �Until now, no  university taught information security separately,  so the establishment of this department was  considered vital.� Komatsu added that information security  specialists have a deep understanding of  frameworks of computers and networks, so  being able to comprehend these foundations  was a major strength for students who would  soon become active members of society,  possibly working in cybersecurity.  �Security needs to be understood as a part of  education, both by vendors and clients, and I  strongly feel that there must be people who can  practice this,� Komatsu added.  The Information Security department  constructed a system and network environme",,,
education," Transforming learning and teaching at UST  A recent upgrade of the wireless network infrastructure at University of Santo Tomas (UST) has profoundly transformed learning and teaching at the university. UST chose Cisco as an end-to-end network infrastructure vendor because of demonstrated performance consistency and reliability, availability and fulfillment of support requirements. ",,,
education,Providing a world class experience with Cisco DNA Assurance  The University of Wollongong leverages Cisco DNA Assurance to reduce the time to troubleshoot and collect data. They then reuse and model to improve the wired and wireless experience for their students and researchers,,,
education," Redefining student experience with world-class Wi-Fi  For Victoria University, technology is more than simply a way to communicate. It�s key to unlocking access to a wealth of opportunities across a vibrant campus community. For more than 100 years, the university has provided outstanding education to students from around the world. ",,,
education," Keeping the data center and disaster recovery on  When Victoria University of Wellington experiences an earthquake, it needs consistent security policies and simplified operations to protect data and maintain uptime. The university�s Information Technology Services team used Cisco firewall geo-clustering technology to build safeguards and security into its network and technology environment. ",,,
